trial,number,state,value,best_val_loss,crop_scale_min,random_erasing_prob,random_erasing_scale_max,color_jitter_strength,grayscale_prob,gaussian_blur_prob,solarization_prob,datetime_start,datetime_complete,run_dir
trial_0010,10,PRUNED,3.5234592474423923,3.5234592474423923,0.5248636643427562,0.34046725484369034,0.3356740207895621,0.22046211248738132,0.20054924518850992,0.2596405149438167,0.1480330404900776,2026-05-28 19:54:59.072928,2026-05-28 21:00:19.019469,F:\Room_8_Data\SIMCLR\experiments\3_AUGMENTATION_OPTUNA\trial_0010
trial_0011,11,PRUNED,3.4162775626549355,3.4162775626549355,0.741749444123751,0.47942544912873375,0.4423842776969664,0.5852468198873464,0.16002212561688903,0.5251430879330115,0.049656912257487626,2026-05-28 21:00:19.508872,2026-05-28 22:07:39.538921,F:\Room_8_Data\SIMCLR\experiments\3_AUGMENTATION_OPTUNA\trial_0011
trial_0012,12,COMPLETE,2.842947932390066,2.842947932390066,0.6372735133413779,0.21074471649979246,0.20171659918864523,0.5286594745277076,0.0019488703959113438,0.9398094367951333,0.11189595606389058,2026-05-28 22:07:40.018392,2026-05-29 02:33:13.165040,F:\Room_8_Data\SIMCLR\experiments\3_AUGMENTATION_OPTUNA\trial_0012
trial_0013,13,COMPLETE,2.84971262216568,2.84971262216568,0.6428046768236377,0.2063156629208805,0.20273498364162149,0.5338129988503957,0.05572305950229454,0.7606208341694342,0.11070546696647418,2026-05-29 02:33:13.356055,2026-05-29 06:49:11.636134,F:\Room_8_Data\SIMCLR\experiments\3_AUGMENTATION_OPTUNA\trial_0013
trial_0014,14,COMPLETE,2.85491065795605,2.85491065795605,0.6345796967725409,0.2094293383061654,0.20609753896636954,0.5548846816723593,0.05582441304018785,0.7728497957177012,0.10679667033201179,2026-05-29 06:49:11.778954,2026-05-29 11:06:06.075100,F:\Room_8_Data\SIMCLR\experiments\3_AUGMENTATION_OPTUNA\trial_0014
trial_0015,15,PRUNED,3.375192244236286,3.375192244236286,0.6278555311100581,0.4282716783254815,0.24732724307233359,0.5347963899345074,0.006387373702635868,0.9981023143444911,0.11190182342710701,2026-05-29 11:06:06.216538,2026-05-29 12:17:06.737610,F:\Room_8_Data\SIMCLR\experiments\3_AUGMENTATION_OPTUNA\trial_0015
trial_0016,16,PRUNED,3.5584874171477097,3.5584874171477097,0.5691409692236421,0.5649174147658508,0.3113737820445477,0.6440451774023498,0.04898224713796136,0.7968588748473884,0.1036357626866444,2026-05-29 12:17:07.272474,2026-05-29 13:26:49.814668,F:\Room_8_Data\SIMCLR\experiments\3_AUGMENTATION_OPTUNA\trial_0016
trial_0017,17,COMPLETE,2.8525057389185977,2.8525057389185977,0.6683732239846265,0.2611680509791423,0.25131580260548936,0.3627947321819144,0.14489151236651618,0.8357162912896711,0.12486390812536342,2026-05-29 13:26:50.249887,2026-05-29 17:46:19.978281,F:\Room_8_Data\SIMCLR\experiments\3_AUGMENTATION_OPTUNA\trial_0017
trial_0018,18,PRUNED,3.436978584069472,3.436978584069472,0.5887592883026324,0.40270133462341806,0.2310890365601111,0.5305304594988683,0.005764489659419402,0.6872299502065424,0.06255221023847993,2026-05-29 17:46:20.120027,2026-05-29 18:54:28.353303,F:\Room_8_Data\SIMCLR\experiments\3_AUGMENTATION_OPTUNA\trial_0018
trial_0019,19,COMPLETE,2.77376687343304,2.77376687343304,0.7400678891689445,0.2012792283530576,0.2009689670978414,0.44287315713019293,0.07742519492917913,0.9144499586960764,0.12266982149356377,2026-05-29 18:54:28.818810,2026-05-29 23:31:29.612420,F:\Room_8_Data\SIMCLR\experiments\3_AUGMENTATION_OPTUNA\trial_0019
