trial,state,best_val_loss,lr,temperature,projection_dim_encoded,color_jitter_strength,freeze_early_layers_encoded
trial_0066,PRUNED,3.3147395665829,0.0009956699099246153,0.11886606589663629,0.0,0.4098068556674283,1.0
trial_0046,PRUNED,3.324513284976666,0.00048745788824739703,0.0728320194642474,2.0,0.5869445613009107,0.0
trial_0060,PRUNED,3.3256336945753833,0.00033008988076147145,0.08515246023492053,2.0,0.6329562701310933,0.0
trial_0047,PRUNED,3.35468519284175,0.0001854162574884432,0.11208586140367946,1.0,0.6652033570812816,1.0
trial_0035,PRUNED,3.370895213347215,0.00026902371081381716,0.1148363037614907,0.0,0.6396907140511707,1.0
trial_0036,PRUNED,3.382221194413992,0.0005560094986576636,0.06622944095431309,0.0,0.5904956565408709,0.0
trial_0057,PRUNED,3.457496534861051,0.0007752021854075804,0.13825082640332886,1.0,0.666892872322134,1.0
trial_0011,COMPLETE,3.5076430815916795,0.00015930522616241006,0.15621088666940686,1.0,0.38493564427131044,1.0
trial_0012,COMPLETE,3.514488260562603,4.059611610484306e-05,0.1287134647448357,2.0,0.3557975442608167,1.0
trial_0097,PRUNED,3.544637212386498,0.00013475479117894,0.07146107093103993,2.0,0.5282670154565571,0.0
trial_0039,PRUNED,3.5575340619454017,0.00015862725154619885,0.1435426812448356,2.0,0.5370942194613363,1.0
trial_0068,PRUNED,3.592452467404879,0.0005655773486597914,0.1576928113891834,0.0,0.6759787025068762,1.0
trial_0049,PRUNED,3.6292743572821986,0.00010371092021075668,0.08209929863066537,2.0,0.5660698517703786,0.0
trial_0045,PRUNED,3.668964978364798,5.836874787956652e-05,0.09043765905721997,2.0,0.5126736414028659,1.0
trial_0056,PRUNED,3.724334247295673,0.0004531710227359145,0.17878729243711852,2.0,0.6096874447760788,1.0
trial_0058,PRUNED,3.7767066662128155,6.630506658035201e-05,0.07004722148172202,2.0,0.6047045670627689,1.0
trial_0050,PRUNED,3.791208478120657,0.0003594721227657206,0.19647452373339602,1.0,0.3730375478114507,1.0
trial_0010,COMPLETE,3.8443870287675126,5.6115164153345e-05,0.19260714596148742,0.0,0.362397808134481,1.0
trial_0013,PRUNED,3.8689102246211124,8.168455894760161e-05,0.16777639420895207,2.0,0.3185801650879991,0.0
trial_0070,PRUNED,3.8943068522673387,4.283351035616757e-05,0.09472180497070777,0.0,0.5261771597777873,1.0
trial_0018,PRUNED,4.069345197310814,3.646439558980719e-05,0.1314044124737373,1.0,0.6947547746402069,0.0
trial_0100,PRUNED,4.180110216140747,2.446361566107304e-05,0.08312948550055026,2.0,0.515706263805611,1.0
trial_0052,PRUNED,4.1898526686888475,2.3556216446542356e-05,0.07249354938299038,2.0,0.550728054006815,1.0
trial_0015,PRUNED,4.250228685599107,1.7541893487450798e-05,0.12427653651669054,1.0,0.5650089137415928,1.0
trial_0019,PRUNED,4.4024788746467,1.0257563974185649e-05,0.17231921426822516,2.0,0.32961786069363613,0.0
trial_0017,PRUNED,4.414035347791819,1.5030900645056805e-05,0.07939742936287178,2.0,0.40853961270955835,0.0
trial_0014,PRUNED,4.417698454856873,1.3492834268013232e-05,0.192332830588,0.0,0.3390688456025535,0.0
trial_0098,PRUNED,4.498781404128441,1.0198382514809437e-05,0.0889849439053554,2.0,0.5035841453857989,1.0
trial_0000,FAIL,,5.6115164153345e-05,0.19260714596148742,0.0,0.362397808134481,1.0
trial_0001,FAIL,,0.00015930522616241006,0.15621088666940686,1.0,0.38493564427131044,1.0
trial_0002,FAIL,,4.059611610484306e-05,0.1287134647448357,2.0,0.3557975442608167,1.0
trial_0003,FAIL,,8.168455894760161e-05,0.16777639420895207,2.0,0.3185801650879991,0.0
trial_0004,FAIL,,1.3492834268013232e-05,0.192332830588,0.0,0.3390688456025535,0.0
trial_0005,FAIL,,5.6115164153345e-05,0.19260714596148742,0.0,0.362397808134481,1.0
trial_0006,RUNNING,,5.6115164153345e-05,0.19260714596148742,0.0,0.362397808134481,1.0
trial_0007,FAIL,,5.6115164153345e-05,0.19260714596148742,0.0,0.362397808134481,1.0
trial_0008,FAIL,,5.6115164153345e-05,0.19260714596148742,0.0,0.362397808134481,1.0
trial_0009,FAIL,,5.6115164153345e-05,0.19260714596148742,0.0,0.362397808134481,1.0
